#
# Ionization fraction vs T for C
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI v9 atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..VII = ionization stage of carbon
#
logT  I      II     III    IV     V      VI     VII    
5.75 0.0000 0.0000 0.0000 0.0007 0.9484 0.0509 0.0001 
5.76 0.0000 0.0000 0.0000 0.0006 0.9375 0.0617 0.0001 
5.77 0.0000 0.0000 0.0000 0.0006 0.9249 0.0743 0.0002 
5.78 0.0000 0.0000 0.0000 0.0006 0.9103 0.0888 0.0003 
5.79 0.0000 0.0000 0.0000 0.0006 0.8937 0.1053 0.0005 
5.80 0.0000 0.0000 0.0000 0.0006 0.8748 0.1239 0.0007 
5.81 0.0000 0.0000 0.0000 0.0005 0.8538 0.1446 0.0010 
5.82 0.0000 0.0000 0.0000 0.0005 0.8306 0.1675 0.0014 
5.83 0.0000 0.0000 0.0000 0.0005 0.8052 0.1922 0.0021 
5.84 0.0000 0.0000 0.0000 0.0005 0.7778 0.2188 0.0029 
5.85 0.0000 0.0000 0.0000 0.0005 0.7485 0.2469 0.0041 
5.86 0.0000 0.0000 0.0000 0.0004 0.7176 0.2763 0.0057 
5.87 0.0000 0.0000 0.0000 0.0004 0.6853 0.3065 0.0078 
5.88 0.0000 0.0000 0.0000 0.0004 0.6519 0.3372 0.0105 
5.89 0.0000 0.0000 0.0000 0.0004 0.6178 0.3679 0.0139 
5.90 0.0000 0.0000 0.0000 0.0004 0.5833 0.3980 0.0183 
5.91 0.0000 0.0000 0.0000 0.0003 0.5486 0.4273 0.0238 
5.92 0.0000 0.0000 0.0000 0.0003 0.5141 0.4550 0.0305 
5.93 0.0000 0.0000 0.0000 0.0003 0.4800 0.4809 0.0388 
5.94 0.0000 0.0000 0.0000 0.0003 0.4466 0.5045 0.0487 
5.95 0.0000 0.0000 0.0000 0.0003 0.4140 0.5253 0.0605 
5.96 0.0000 0.0000 0.0000 0.0002 0.3824 0.5431 0.0743 
5.97 0.0000 0.0000 0.0000 0.0002 0.3519 0.5575 0.0904 
5.98 0.0000 0.0000 0.0000 0.0002 0.3227 0.5683 0.1088 
