#
# Ionization fraction vs T for O
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..IX = ionization stage of oxygen
#
logT  I      II     III    IV     V      VI     VII    VIII   IX     
5.26 0.0000 0.0004 0.0576 0.5512 0.3824 0.0082 0.0002 0.0000 0.0000 
5.27 0.0000 0.0003 0.0499 0.5247 0.4139 0.0107 0.0003 0.0000 0.0000 
5.28 0.0000 0.0003 0.0431 0.4971 0.4449 0.0140 0.0006 0.0000 0.0000 
5.29 0.0000 0.0002 0.0372 0.4687 0.4750 0.0180 0.0009 0.0000 0.0000 
5.30 0.0000 0.0002 0.0319 0.4399 0.5037 0.0229 0.0014 0.0000 0.0000 
5.31 0.0000 0.0001 0.0273 0.4109 0.5306 0.0289 0.0022 0.0000 0.0000 
5.32 0.0000 0.0001 0.0232 0.3820 0.5551 0.0361 0.0034 0.0000 0.0000 
5.33 0.0000 0.0001 0.0197 0.3534 0.5769 0.0447 0.0052 0.0000 0.0000 
5.34 0.0000 0.0001 0.0167 0.3252 0.5955 0.0548 0.0077 0.0000 0.0000 
5.35 0.0000 0.0001 0.0141 0.2978 0.6103 0.0664 0.0114 0.0000 0.0000 
5.36 0.0000 0.0000 0.0118 0.2711 0.6208 0.0797 0.0166 0.0000 0.0000 
5.37 0.0000 0.0000 0.0098 0.2453 0.6266 0.0946 0.0237 0.0000 0.0000 
5.38 0.0000 0.0000 0.0082 0.2204 0.6270 0.1110 0.0335 0.0000 0.0000 
5.39 0.0000 0.0000 0.0067 0.1965 0.6216 0.1287 0.0465 0.0000 0.0000 
5.40 0.0000 0.0000 0.0055 0.1737 0.6100 0.1473 0.0635 0.0000 0.0000 
5.41 0.0000 0.0000 0.0045 0.1521 0.5919 0.1663 0.0853 0.0000 0.0000 
5.42 0.0000 0.0000 0.0036 0.1317 0.5673 0.1849 0.1125 0.0000 0.0000 
5.43 0.0000 0.0000 0.0028 0.1127 0.5366 0.2024 0.1454 0.0000 0.0000 
5.44 0.0000 0.0000 0.0022 0.0953 0.5003 0.2179 0.1844 0.0000 0.0000 
5.45 0.0000 0.0000 0.0017 0.0794 0.4595 0.2305 0.2289 0.0000 0.0000 
5.46 0.0000 0.0000 0.0013 0.0653 0.4155 0.2395 0.2784 0.0000 0.0000 
5.47 0.0000 0.0000 0.0010 0.0529 0.3700 0.2444 0.3317 0.0000 0.0000 
5.48 0.0000 0.0000 0.0007 0.0423 0.3246 0.2452 0.3872 0.0000 0.0000 
5.49 0.0000 0.0000 0.0005 0.0334 0.2807 0.2421 0.4433 0.0000 0.0000 
5.50 0.0000 0.0000 0.0004 0.0260 0.2397 0.2353 0.4986 0.0000 0.0000 
5.51 0.0000 0.0000 0.0003 0.0201 0.2023 0.2257 0.5517 0.0000 0.0000 
5.52 0.0000 0.0000 0.0002 0.0154 0.1690 0.2138 0.6016 0.0000 0.0000 
5.53 0.0000 0.0000 0.0001 0.0117 0.1401 0.2006 0.6475 0.0000 0.0000 
5.54 0.0000 0.0000 0.0001 0.0088 0.1154 0.1865 0.6892 0.0000 0.0000 
5.55 0.0000 0.0000 0.0001 0.0066 0.0945 0.1722 0.7266 0.0000 0.0000 
5.56 0.0000 0.0000 0.0001 0.0050 0.0771 0.1581 0.7598 0.0000 0.0000 
5.57 0.0000 0.0000 0.0000 0.0037 0.0627 0.1444 0.7891 0.0000 0.0000 
5.58 0.0000 0.0000 0.0000 0.0028 0.0510 0.1315 0.8147 0.0000 0.0000 
5.59 0.0000 0.0000 0.0000 0.0021 0.0414 0.1195 0.8370 0.0000 0.0000 
5.60 0.0000 0.0000 0.0000 0.0016 0.0336 0.1083 0.8565 0.0000 0.0000 
5.61 0.0000 0.0000 0.0000 0.0012 0.0273 0.0981 0.8735 0.0000 0.0000 
5.62 0.0000 0.0000 0.0000 0.0009 0.0222 0.0888 0.8882 0.0000 0.0000 
5.63 0.0000 0.0000 0.0000 0.0007 0.0180 0.0803 0.9010 0.0000 0.0000 
5.64 0.0000 0.0000 0.0000 0.0005 0.0147 0.0726 0.9121 0.0000 0.0000 
5.65 0.0000 0.0000 0.0000 0.0004 0.0120 0.0657 0.9219 0.0000 0.0000 
5.66 0.0000 0.0000 0.0000 0.0003 0.0098 0.0595 0.9304 0.0000 0.0000 
5.67 0.0000 0.0000 0.0000 0.0002 0.0081 0.0539 0.9378 0.0000 0.0000 
5.68 0.0000 0.0000 0.0000 0.0002 0.0066 0.0489 0.9443 0.0000 0.0000 
5.69 0.0000 0.0000 0.0000 0.0001 0.0055 0.0444 0.9500 0.0000 0.0000 
5.70 0.0000 0.0000 0.0000 0.0001 0.0045 0.0403 0.9551 0.0000 0.0000 
5.71 0.0000 0.0000 0.0000 0.0001 0.0037 0.0367 0.9595 0.0000 0.0000 
5.72 0.0000 0.0000 0.0000 0.0001 0.0031 0.0334 0.9634 0.0000 0.0000 
5.73 0.0000 0.0000 0.0000 0.0000 0.0026 0.0305 0.9669 0.0000 0.0000 
5.74 0.0000 0.0000 0.0000 0.0000 0.0022 0.0278 0.9700 0.0000 0.0000 
5.75 0.0000 0.0000 0.0000 0.0000 0.0018 0.0254 0.9727 0.0000 0.0000 
5.76 0.0000 0.0000 0.0000 0.0000 0.0015 0.0233 0.9752 0.0000 0.0000 
5.77 0.0000 0.0000 0.0000 0.0000 0.0013 0.0213 0.9774 0.0000 0.0000 
5.78 0.0000 0.0000 0.0000 0.0000 0.0011 0.0196 0.9793 0.0000 0.0000 
5.79 0.0000 0.0000 0.0000 0.0000 0.0009 0.0180 0.9810 0.0000 0.0000 
5.80 0.0000 0.0000 0.0000 0.0000 0.0008 0.0166 0.9826 0.0000 0.0000 
5.81 0.0000 0.0000 0.0000 0.0000 0.0007 0.0153 0.9840 0.0000 0.0000 
5.82 0.0000 0.0000 0.0000 0.0000 0.0006 0.0141 0.9852 0.0001 0.0000 
5.83 0.0000 0.0000 0.0000 0.0000 0.0005 0.0131 0.9864 0.0001 0.0000 
5.84 0.0000 0.0000 0.0000 0.0000 0.0004 0.0121 0.9874 0.0001 0.0000 
5.85 0.0000 0.0000 0.0000 0.0000 0.0003 0.0112 0.9882 0.0002 0.0000 
5.86 0.0000 0.0000 0.0000 0.0000 0.0003 0.0104 0.9890 0.0002 0.0000 
5.87 0.0000 0.0000 0.0000 0.0000 0.0003 0.0097 0.9897 0.0003 0.0000 
5.88 0.0000 0.0000 0.0000 0.0000 0.0002 0.0091 0.9903 0.0004 0.0000 
5.89 0.0000 0.0000 0.0000 0.0000 0.0002 0.0085 0.9908 0.0006 0.0000 
5.90 0.0000 0.0000 0.0000 0.0000 0.0002 0.0079 0.9912 0.0007 0.0000 
5.91 0.0000 0.0000 0.0000 0.0000 0.0001 0.0074 0.9914 0.0010 0.0000 
5.92 0.0000 0.0000 0.0000 0.0000 0.0001 0.0070 0.9916 0.0013 0.0000 
5.93 0.0000 0.0000 0.0000 0.0000 0.0001 0.0066 0.9917 0.0016 0.0000 
5.94 0.0000 0.0000 0.0000 0.0000 0.0001 0.0062 0.9916 0.0021 0.0000 
5.95 0.0000 0.0000 0.0000 0.0000 0.0001 0.0059 0.9913 0.0027 0.0000 
5.96 0.0000 0.0000 0.0000 0.0000 0.0001 0.0056 0.9909 0.0035 0.0000 
5.97 0.0000 0.0000 0.0000 0.0000 0.0001 0.0053 0.9902 0.0044 0.0000 
5.98 0.0000 0.0000 0.0000 0.0000 0.0001 0.0050 0.9893 0.0056 0.0000 
5.99 0.0000 0.0000 0.0000 0.0000 0.0001 0.0048 0.9881 0.0070 0.0000 
6.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0046 0.9866 0.0087 0.0000 
