#
# CIE cooling function for Z=0.05 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
6.490 -23.159 -23.246 -23.364 -23.888 -25.318
6.500 -23.159 -23.243 -23.359 -23.887 -25.331
6.510 -23.159 -23.239 -23.355 -23.886 -25.344
6.520 -23.159 -23.236 -23.350 -23.885 -25.357
6.530 -23.158 -23.232 -23.346 -23.885 -25.370
6.540 -23.157 -23.229 -23.341 -23.885 -25.384
6.550 -23.157 -23.225 -23.336 -23.884 -25.399
6.560 -23.155 -23.222 -23.332 -23.885 -25.412
6.570 -23.154 -23.218 -23.327 -23.885 -25.426
6.580 -23.152 -23.215 -23.323 -23.885 -25.439
6.590 -23.151 -23.212 -23.318 -23.885 -25.451
6.600 -23.149 -23.208 -23.314 -23.886 -25.464
6.610 -23.147 -23.205 -23.309 -23.886 -25.476
6.620 -23.145 -23.201 -23.304 -23.887 -25.488
6.630 -23.142 -23.198 -23.300 -23.888 -25.500
6.640 -23.140 -23.194 -23.295 -23.889 -25.511
6.650 -23.137 -23.191 -23.291 -23.889 -25.522
6.660 -23.135 -23.188 -23.286 -23.890 -25.533
6.670 -23.132 -23.184 -23.281 -23.891 -25.544
6.680 -23.129 -23.181 -23.277 -23.892 -25.554
6.690 -23.127 -23.177 -23.272 -23.893 -25.564
6.700 -23.124 -23.174 -23.267 -23.894 -25.574
6.710 -23.121 -23.170 -23.263 -23.895 -25.584
6.720 -23.118 -23.166 -23.258 -23.896 -25.594
6.730 -23.115 -23.163 -23.253 -23.898 -25.603
6.740 -23.112 -23.159 -23.249 -23.899 -25.613
6.750 -23.108 -23.156 -23.244 -23.900 -25.622
6.760 -23.105 -23.152 -23.239 -23.901 -25.632
6.770 -23.102 -23.149 -23.234 -23.903 -25.641
6.780 -23.099 -23.145 -23.230 -23.904 -25.650
6.790 -23.096 -23.141 -23.225 -23.906 -25.659
6.800 -23.092 -23.138 -23.220 -23.907 -25.668
6.810 -23.089 -23.134 -23.215 -23.909 -25.677
6.820 -23.086 -23.131 -23.211 -23.911 -25.686
6.830 -23.082 -23.127 -23.206 -23.912 -25.695
6.840 -23.079 -23.123 -23.201 -23.914 -25.703
6.850 -23.076 -23.119 -23.196 -23.916 -25.712
6.860 -23.072 -23.116 -23.192 -23.918 -25.721
6.870 -23.069 -23.112 -23.187 -23.919 -25.729
6.880 -23.065 -23.108 -23.182 -23.921 -25.737
6.890 -23.062 -23.105 -23.177 -23.923 -25.746
6.900 -23.059 -23.101 -23.173 -23.925 -25.754
6.910 -23.055 -23.097 -23.168 -23.926 -25.764
6.920 -23.052 -23.093 -23.163 -23.928 -25.772
6.930 -23.049 -23.089 -23.158 -23.930 -25.780
6.940 -23.046 -23.085 -23.153 -23.931 -25.788
6.950 -23.042 -23.082 -23.149 -23.933 -25.796
6.960 -23.039 -23.078 -23.144 -23.934 -25.804
6.970 -23.036 -23.074 -23.139 -23.935 -25.812
6.980 -23.033 -23.070 -23.134 -23.937 -25.820
6.990 -23.029 -23.066 -23.129 -23.938 -25.828
7.000 -23.026 -23.062 -23.124 -23.939 -25.836
7.010 -23.023 -23.058 -23.120 -23.940 -25.844
7.020 -23.020 -23.054 -23.115 -23.940 -25.852
7.030 -23.017 -23.049 -23.110 -23.941 -25.860
7.040 -23.014 -23.045 -23.105 -23.941 -25.868
7.050 -23.011 -23.041 -23.100 -23.941 -25.879
7.060 -23.008 -23.037 -23.095 -23.941 -25.887
7.070 -23.004 -23.033 -23.090 -23.941 -25.895
7.080 -23.001 -23.028 -23.086 -23.941 -25.904
7.090 -22.998 -23.024 -23.081 -23.941 -25.912
7.100 -22.995 -23.020 -23.076 -23.940 -25.921
7.110 -22.992 -23.015 -23.071 -23.940 -25.929
7.120 -22.989 -23.011 -23.066 -23.939 -25.938
7.130 -22.986 -23.007 -23.061 -23.938 -25.947
7.140 -22.983 -23.002 -23.056 -23.938 -25.956
7.150 -22.979 -22.998 -23.052 -23.937 -25.965
7.160 -22.976 -22.994 -23.047 -23.937 -25.974
7.170 -22.973 -22.989 -23.042 -23.937 -25.984
7.180 -22.969 -22.985 -23.037 -23.937 -25.993
7.190 -22.966 -22.981 -23.032 -23.937 -26.003
7.200 -22.963 -22.976 -23.027 -23.937 -26.013
7.210 -22.959 -22.972 -23.022 -23.937 -26.023
7.220 -22.956 -22.968 -23.017 -23.938 -26.033
7.230 -22.952 -22.964 -23.013 -23.939 -26.043
7.240 -22.949 -22.959 -23.008 -23.939 -26.053
7.250 -22.945 -22.955 -23.003 -23.940 -26.064
7.260 -22.941 -22.951 -22.998 -23.941 -26.074
7.270 -22.938 -22.947 -22.993 -23.943 -26.085
7.280 -22.934 -22.942 -22.988 -23.944 -26.095
7.290 -22.930 -22.938 -22.983 -23.946 -26.106
7.300 -22.926 -22.934 -22.979 -23.947 -26.117
7.310 -22.922 -22.930 -22.974 -23.949 -26.127
7.320 -22.919 -22.925 -22.969 -23.951 -26.138
7.330 -22.915 -22.921 -22.964 -23.953 -26.148
7.340 -22.911 -22.917 -22.959 -23.955 -26.159
7.350 -22.907 -22.913 -22.954 -23.957 -26.170
7.360 -22.903 -22.909 -22.949 -23.959 -26.180
7.370 -22.899 -22.904 -22.945 -23.961 -26.190
7.380 -22.895 -22.900 -22.940 -23.964 -26.201
7.390 -22.891 -22.896 -22.935 -23.966 -26.211
7.400 -22.887 -22.892 -22.930 -23.969 -26.220
7.410 -22.883 -22.888 -22.925 -23.971 -26.230
7.420 -22.879 -22.883 -22.920 -23.974 -26.240
7.430 -22.875 -22.879 -22.915 -23.977 -26.249
7.440 -22.871 -22.875 -22.911 -23.979 -26.258
7.450 -22.867 -22.871 -22.906 -23.982 -26.267
7.460 -22.863 -22.866 -22.901 -23.985 -26.275
7.470 -22.859 -22.862 -22.896 -23.988 -26.283
7.480 -22.855 -22.858 -22.891 -23.991 -26.291
7.490 -22.850 -22.854 -22.886 -23.994 -26.298
7.500 -22.846 -22.849 -22.882 -23.997 -26.305
7.510 -22.842 -22.845 -22.877 -24.000 -26.312
7.520 -22.838 -22.841 -22.872 -24.004 -26.319
7.530 -22.834 -22.837 -22.867 -24.007 -26.325
7.540 -22.830 -22.832 -22.862 -24.010 -26.330
7.550 -22.826 -22.828 -22.858 -24.013 -26.336
7.560 -22.821 -22.824 -22.853 -24.016 -26.341
7.570 -22.817 -22.820 -22.848 -24.020 -26.346
7.580 -22.813 -22.815 -22.843 -24.023 -26.350
7.590 -22.809 -22.811 -22.838 -24.026 -26.354
7.600 -22.804 -22.807 -22.834 -24.029 -26.358
7.610 -22.800 -22.802 -22.829 -24.032 -26.361
7.620 -22.796 -22.798 -22.824 -24.036 -26.365
7.630 -22.792 -22.794 -22.819 -24.039 -26.367
7.640 -22.787 -22.789 -22.815 -24.042 -26.370
7.650 -22.783 -22.785 -22.810 -24.045 -26.373
7.660 -22.779 -22.781 -22.805 -24.048 -26.375
7.670 -22.775 -22.776 -22.800 -24.051 -26.377
7.680 -22.770 -22.772 -22.796 -24.054 -26.379
7.690 -22.766 -22.768 -22.791 -24.057 -26.381
7.700 -22.762 -22.763 -22.786 -24.059 -26.383
