#
# CIE cooling function for Z=10 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
6.780 -21.631 -22.912 -23.230 -23.905 -23.291
6.790 -21.630 -22.913 -23.226 -23.907 -23.298
6.800 -21.628 -22.914 -23.221 -23.908 -23.305
6.810 -21.627 -22.914 -23.216 -23.910 -23.312
6.820 -21.625 -22.915 -23.212 -23.911 -23.319
6.830 -21.624 -22.915 -23.207 -23.913 -23.326
6.840 -21.622 -22.916 -23.202 -23.915 -23.333
6.850 -21.621 -22.916 -23.197 -23.917 -23.340
6.860 -21.620 -22.916 -23.192 -23.918 -23.347
6.870 -21.619 -22.916 -23.188 -23.920 -23.354
6.880 -21.618 -22.916 -23.183 -23.922 -23.360
6.890 -21.618 -22.916 -23.178 -23.924 -23.367
6.900 -21.618 -22.916 -23.173 -23.925 -23.373
6.910 -21.619 -22.917 -23.169 -23.927 -23.382
6.920 -21.620 -22.916 -23.164 -23.929 -23.388
6.930 -21.622 -22.916 -23.159 -23.930 -23.395
6.940 -21.624 -22.915 -23.154 -23.932 -23.401
6.950 -21.627 -22.915 -23.149 -23.933 -23.408
6.960 -21.630 -22.914 -23.144 -23.935 -23.414
6.970 -21.634 -22.913 -23.140 -23.936 -23.421
6.980 -21.639 -22.913 -23.135 -23.937 -23.427
6.990 -21.644 -22.912 -23.130 -23.938 -23.433
7.000 -21.651 -22.911 -23.125 -23.939 -23.440
7.010 -21.658 -22.910 -23.120 -23.940 -23.446
7.020 -21.666 -22.909 -23.115 -23.941 -23.453
7.030 -21.674 -22.908 -23.111 -23.942 -23.459
7.040 -21.684 -22.907 -23.106 -23.942 -23.466
7.050 -21.696 -22.906 -23.101 -23.942 -23.476
7.060 -21.708 -22.905 -23.096 -23.942 -23.483
7.070 -21.721 -22.904 -23.091 -23.942 -23.490
7.080 -21.735 -22.902 -23.086 -23.942 -23.497
7.090 -21.750 -22.901 -23.082 -23.941 -23.504
7.100 -21.766 -22.899 -23.077 -23.941 -23.512
7.110 -21.784 -22.898 -23.072 -23.940 -23.519
7.120 -21.802 -22.896 -23.067 -23.940 -23.527
7.130 -21.821 -22.895 -23.062 -23.939 -23.535
7.140 -21.841 -22.893 -23.057 -23.939 -23.543
7.150 -21.861 -22.892 -23.052 -23.938 -23.551
7.160 -21.881 -22.890 -23.047 -23.938 -23.559
7.170 -21.902 -22.889 -23.043 -23.938 -23.568
7.180 -21.924 -22.887 -23.038 -23.938 -23.577
7.190 -21.945 -22.885 -23.033 -23.938 -23.586
7.200 -21.966 -22.884 -23.028 -23.939 -23.595
7.210 -21.987 -22.882 -23.023 -23.939 -23.604
7.220 -22.007 -22.880 -23.018 -23.940 -23.613
7.230 -22.027 -22.879 -23.013 -23.941 -23.623
7.240 -22.047 -22.877 -23.009 -23.942 -23.632
7.250 -22.066 -22.875 -23.004 -23.943 -23.642
7.260 -22.085 -22.873 -22.999 -23.944 -23.652
7.270 -22.103 -22.871 -22.994 -23.945 -23.662
7.280 -22.121 -22.869 -22.989 -23.947 -23.672
7.290 -22.138 -22.867 -22.984 -23.949 -23.682
7.300 -22.154 -22.865 -22.979 -23.950 -23.693
7.310 -22.170 -22.863 -22.974 -23.952 -23.703
7.320 -22.185 -22.861 -22.970 -23.954 -23.713
7.330 -22.199 -22.859 -22.965 -23.956 -23.723
7.340 -22.213 -22.856 -22.960 -23.958 -23.733
7.350 -22.227 -22.854 -22.955 -23.960 -23.743
