#
# CIE cooling function for solar metallicity (Z=1)
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
# For solar, we also include the line cooling contributions
# by element
#
logT   Total    Cont   FFCont  FBCont  2PCont    H       He      C       N       O       Ne      Mg      Si      S       Fe  
5.080 -21.302 -22.953 -24.016 -23.619 -23.109 -23.588 -22.407 -21.946 -22.317 -21.617 -22.792 -24.760 -23.645 -22.541 -23.469
5.090 -21.306 -22.972 -24.010 -23.620 -23.137 -23.604 -22.432 -22.002 -22.305 -21.602 -22.769 -24.689 -23.698 -22.533 -23.466
5.100 -21.309 -22.990 -24.004 -23.620 -23.165 -23.620 -22.457 -22.061 -22.293 -21.587 -22.748 -24.620 -23.750 -22.526 -23.462
5.110 -21.311 -23.009 -23.998 -23.621 -23.193 -23.636 -22.482 -22.122 -22.282 -21.572 -22.727 -24.554 -23.800 -22.520 -23.459
5.120 -21.311 -23.026 -23.993 -23.621 -23.221 -23.651 -22.507 -22.185 -22.272 -21.557 -22.707 -24.492 -23.849 -22.513 -23.456
5.130 -21.310 -23.043 -23.987 -23.622 -23.249 -23.667 -22.532 -22.248 -22.262 -21.542 -22.688 -24.431 -23.896 -22.507 -23.452
5.140 -21.307 -23.060 -23.981 -23.623 -23.277 -23.683 -22.557 -22.311 -22.253 -21.528 -22.670 -24.373 -23.942 -22.502 -23.449
5.150 -21.304 -23.076 -23.975 -23.624 -23.305 -23.698 -22.582 -22.375 -22.245 -21.513 -22.652 -24.318 -23.986 -22.497 -23.446
5.160 -21.299 -23.092 -23.970 -23.626 -23.332 -23.713 -22.607 -22.438 -22.238 -21.499 -22.635 -24.264 -24.028 -22.492 -23.443
5.170 -21.294 -23.107 -23.964 -23.627 -23.359 -23.729 -22.631 -22.500 -22.232 -21.485 -22.619 -24.212 -24.069 -22.488 -23.440
5.180 -21.288 -23.121 -23.958 -23.628 -23.386 -23.744 -22.655 -22.562 -22.228 -21.471 -22.604 -24.162 -24.107 -22.485 -23.437
5.190 -21.282 -23.135 -23.953 -23.630 -23.413 -23.759 -22.679 -22.623 -22.226 -21.458 -22.589 -24.113 -24.144 -22.482 -23.435
5.200 -21.276 -23.149 -23.947 -23.631 -23.440 -23.774 -22.703 -22.682 -22.226 -21.444 -22.574 -24.066 -24.178 -22.481 -23.433
5.210 -21.270 -23.162 -23.941 -23.633 -23.466 -23.789 -22.727 -22.741 -22.229 -21.431 -22.560 -24.020 -24.210 -22.482 -23.432
5.220 -21.263 -23.174 -23.936 -23.634 -23.493 -23.804 -22.751 -22.798 -22.235 -21.418 -22.546 -23.974 -24.240 -22.484 -23.431
5.230 -21.258 -23.186 -23.930 -23.636 -23.519 -23.818 -22.774 -22.855 -22.245 -21.406 -22.532 -23.930 -24.268 -22.489 -23.431
5.240 -21.252 -23.198 -23.925 -23.637 -23.545 -23.833 -22.797 -22.910 -22.259 -21.394 -22.518 -23.886 -24.292 -22.497 -23.431
5.250 -21.247 -23.208 -23.919 -23.639 -23.571 -23.848 -22.820 -22.964 -22.278 -21.382 -22.505 -23.843 -24.313 -22.509 -23.432
