lambda       flux        ferr     
3950.00      8.81838     0.128463 
3951.00      8.84085     0.127710 
3952.00      8.25758     0.127447 
3953.00      8.08943     0.126473 
3954.00      8.17646     0.125741 
3955.00      7.94803     0.125108 
3956.00      8.04780     0.124165 
3957.00      8.12370     0.123375 
3958.00      7.96190     0.122758 
3959.00      8.38365     0.121772 
3960.00      8.73349     0.120778 
3961.00      8.48852     0.120409 
3962.00      8.66331     0.119421 
3963.00      8.94442     0.119311 
3964.00      9.36410     0.118750 
3965.00      9.87029     0.118605 
3966.00      10.5138     0.118671 
3967.00      12.4693     0.119046 
3968.00      17.0826     0.119222 
3969.00      23.8871     0.118886 
3970.00      30.1334     0.118375 
3971.00      31.7073     0.118106 
3972.00      28.0451     0.117568 
3973.00      20.3265     0.117369 
3974.00      12.7116     0.117338 
3975.00      9.63870     0.116028 
3976.00      8.71587     0.115570 
3977.00      8.85741     0.114995 
3978.00      8.85862     0.115095 
3979.00      8.74038     0.114821 
3980.00      8.57243     0.114707 
3981.00      8.63879     0.114473 
3982.00      8.73059     0.114675 
3983.00      8.91295     0.114432 
3984.00      8.84826     0.114457 
3985.00      8.59472     0.114417 
3986.00      8.60937     0.114357 
3987.00      8.55381     0.114476 
3988.00      8.45600     0.114375 
3989.00      8.37545     0.114545 
3990.00      8.32697     0.114680 
3991.00      8.51981     0.114624 
3992.00      8.61439     0.114931 
3993.00      8.70765     0.114955 
3994.00      8.70476     0.115239 
3995.00      8.86884     0.115363 
3996.00      8.65750     0.115497 
3997.00      8.68275     0.115733 
3998.00      9.00174     0.115766 
3999.00      9.03975     0.116127 
4000.00      8.89652     0.116233 
4001.00      8.57366     0.116438 
4002.00      8.67293     0.116835 
4003.00      9.09136     0.116893 
4004.00      9.07902     0.117124 
4005.00      8.85887     0.117325 
4006.00      8.86045     0.117575 
4007.00      8.58957     0.117553 
4008.00      8.72788     0.117885 
4009.00      8.74920     0.117857 
4010.00      8.75719     0.117971 
4011.00      8.86483     0.118106 
4012.00      8.81724     0.118249 
4013.00      8.78327     0.118340 
4014.00      8.85646     0.118395 
4015.00      8.98562     0.118571 
4016.00      8.91344     0.118422 
4017.00      8.69475     0.118679 
4018.00      8.84824     0.118590 
4019.00      8.98797     0.118699 
4020.00      9.14906     0.118497 
4021.00      8.83690     0.118728 
4022.00      8.70393     0.118523 
4023.00      8.84541     0.118466 
4024.00      8.81175     0.118670 
4025.00      9.45181     0.118188 
4026.00      9.88288     0.118619 
4027.00      9.94682     0.117982 
4028.00      9.57443     0.118305 
4029.00      9.26767     0.118290 
4030.00      9.14818     0.117976 
4031.00      8.86841     0.118149 
4032.00      9.09334     0.117800 
4033.00      8.99036     0.117914 
4034.00      8.91650     0.117681 
4035.00      8.92769     0.117459 
4036.00      8.87991     0.117215 
4037.00      8.77892     0.117237 
4038.00      8.71840     0.116849 
4039.00      8.47442     0.116874 
4040.00      8.66476     0.116442 
4041.00      8.82002     0.116242 
4042.00      8.86243     0.116302 
4043.00      9.10478     0.115570 
4044.00      8.70995     0.115608 
4045.00      8.53352     0.115260 
4046.00      8.77481     0.114903 
4047.00      8.83516     0.114396 
4048.00      8.56259     0.114236 
4049.00      8.49171     0.113803 
4050.00      8.57804     0.113464 
4051.00      8.55133     0.113313 
4052.00      8.93340     0.112750 
4053.00      8.87276     0.112501 
4054.00      8.77738     0.112147 
4055.00      8.58612     0.111815 
4056.00      8.60582     0.111642 
4057.00      8.88394     0.111149 
4058.00      8.94864     0.110610 
4059.00      9.02040     0.110421 
4060.00      8.74288     0.110380 
4061.00      8.96648     0.109928 
4062.00      8.99529     0.109683 
4063.00      8.73552     0.109281 
4064.00      8.90527     0.109108 
4065.00      9.13853     0.108864 
4066.00      9.17246     0.108471 
4067.00      9.58108     0.108307 
4068.00      10.0928     0.107963 
4069.00      10.3643     0.107735 
4070.00      9.96468     0.107393 
4071.00      9.22621     0.107411 
4072.00      9.08391     0.106942 
4073.00      8.84475     0.106853 
4074.00      8.74143     0.106387 
4075.00      9.06799     0.106582 
4076.00      9.48305     0.106182 
4077.00      9.35809     0.106041 
4078.00      9.31376     0.105765 
4079.00      9.23220     0.105704 
4080.00      8.94994     0.105547 
4081.00      8.88492     0.105290 
