#
# Nicastro et al. 2018 RGS1 Spectrum
#
# Column1: wavelength (angstrom), column2: err_wavelength
# Column3: flux (Jansky), column4: err_flux
# Column 5: Best-fit model, 6: continuum
#
wavelength                      err_wavelength                  flux                            err_flux                        model                           continuum
1.494000050000000002e+01        1.000017110000000001e-02        4.153853750000000311e-06        1.473189430000000022e-07        4.357189939999999903e-06        4.357189939999999903e-06
1.496000100000000010e+01        1.000006590000000056e-02        4.200031069999999861e-06        1.454606889999999915e-07        4.364050259999999843e-06        4.364050259999999843e-06
1.498000140000000080e+01        9.999851699999999510e-03        4.180124510000000192e-06        1.477818050000000001e-07        4.370903299999999633e-06        4.370903299999999633e-06
1.500000099999999925e+01        1.000007060000000086e-02        4.452400389999999858e-06        1.500257840000000068e-07        4.378115139999999925e-06        4.378115139999999925e-06
1.502000139999999995e+01        1.000018419999999970e-02        4.386403360000000380e-06        1.507491309999999942e-07        4.385044120000000324e-06        4.385044120000000324e-06
1.504000190000000003e+01        1.000019159999999963e-02        4.140950300000000379e-06        1.467480930000000047e-07        4.391875789999999886e-06        4.391875789999999886e-06
1.506000140000000087e+01        9.999546220000000638e-03        4.156482189999999911e-06        1.484523149999999894e-07        4.398700639999999695e-06        4.398700639999999695e-06
1.508000089999999993e+01        9.999884290000000259e-03        4.358838400000000053e-06        1.512733259999999987e-07        4.405518669999999753e-06        4.405518669999999753e-06
1.510000040000000077e+01        1.000011989999999990e-02        4.405660089999999875e-06        1.523265779999999893e-07        4.412329419999999661e-06        4.412329419999999661e-06
1.512000079999999969e+01        9.999700820000000448e-03        4.445008470000000237e-06        1.542101840000000082e-07        4.419519430000000174e-06        4.419519430000000174e-06
1.514000030000000052e+01        1.000027640000000079e-02        4.427483869999999683e-06        1.663384379999999910e-07        4.426383840000000339e-06        4.426383840000000339e-06
1.516000080000000061e+01        1.000019809999999967e-02        4.490281750000000099e-06        1.726074289999999995e-07        4.433173220000000019e-06        4.433173220000000019e-06
1.518500039999999984e+01        1.499936449999999914e-02        4.386566159999999707e-06        1.528553500000000003e-07        4.441647430000000278e-06        4.441647430000000278e-06
1.521500020000000042e+01        1.500026139999999925e-02        4.370939220000000336e-06        1.707779520000000069e-07        4.451804669999999669e-06        4.451804669999999669e-06
1.525000000000000000e+01        1.999984679999999848e-02        4.873852959999999657e-06        1.751279369999999881e-07        4.464062390000000324e-06        4.464062390000000324e-06
1.529500009999999932e+01        2.500007300000000113e-02        4.845916459999999624e-06        1.846752870000000130e-07        4.479257770000000377e-06        4.479257770000000377e-06
