#
# Q1422+2307 (z=3.62) - spectrum from William Keel, Univ. of Alabama
#
# lam is restframe (emitted) wavelength in Angstroms
# flux is arbitrary units
#
 lam            flux
 895.0960       55722.23
 895.1970       58344.79
 895.2980       55401.84
 895.3990       49424.43
 895.5000       51127.02
 895.6010       60830.04
 895.7020       58646.86
 895.8030       61901.03
 895.9040       60280.81
 896.0050       60390.65
 896.1060        59411.2
 896.2070       59955.85
 896.3080       56459.11
 896.4090       46275.52
 896.5100       35492.37
 896.6110       33020.84
 896.7120       15939.89
 896.8130        3257.32
 896.9140      -349.2701
 897.0150       94.68839
 897.1160       511.1855
 897.2170       3664.664
 897.3180       5902.764
 897.4190       7760.982
 897.5200       6360.453
 897.6210       2923.207
 897.7220       3408.358
 897.8230       6850.181
 897.9240         16274.
 898.0250        43625.5
 898.1260       57150.22
 898.2270       50824.96
 898.3280       29853.63
 898.4290        6570.99
 898.5300        76.3808
 898.6310      -408.7696
 898.7320       1394.526
 898.8330       22040.88
 898.9340       48133.74
 899.0350        43012.2
 899.1360       50188.77
 899.2370       58157.14
 899.3380       58852.82
 899.4390       46261.79
 899.5400       40426.26
 899.6410       50326.07
 899.7420       55136.39
 899.8430       59937.54
 899.9440       62116.14
 900.0450       60733.93
 900.1460       62660.79
 900.2470       63113.91
 900.3480       63493.79
 900.4490       64660.89
 900.5500        64779.9
 900.6510       61978.84
 900.7520       62907.95
 900.8530       57186.83
 900.9540       54358.31
 901.0550       50367.26
 901.1560       57374.48
 901.2570       58418.01
 901.3580        60065.7
 901.4590       56276.02
 901.5600       47021.55
 901.6610       20493.89
 901.7620       22265.15
 901.8630       57186.83
 901.9640       64056.74
 902.0650       59621.74
 902.1660       58486.67
 902.2670       62308.38
 902.3680       60747.66
 902.4690       62399.91
 902.5700       60340.31
 902.6710       37135.47
 902.7720       23212.57
 902.8730        41327.9
 902.9740       56985.45
 903.0750       54188.98
 903.1760       49227.62
 903.2770       21294.85
 903.3780       181.6493
 903.4790      -372.1545
 903.5800      -24.31078
 903.6810        1476.91
 903.7820       19642.59
 903.8830       26425.54
 903.9840       23230.87
 904.0850         32316.
 904.1860       44490.54
 904.2870       53150.01
 904.3880       54399.51
 904.4890        54715.3
 904.5900       57141.06
 904.6910       49584.62
 904.7920       14370.01
 904.8930       18617.37
 904.9940       49616.65
 905.0950        60262.5
 905.1960       64601.39
 905.2970       65315.39
 905.3980       64020.13
 905.4990       57205.14
 905.6000       64294.74
 905.7010       62651.64
 905.8020       62390.76
 905.9030       56806.95
 906.0040       52564.18
 906.1050       48792.82
 906.2060       47630.28
 906.3070       51506.91
 906.4080       45236.57
 906.5090       36723.55
 906.6100       44925.34
 906.7110       49822.61
 906.8120       46229.76
 906.9130       51127.02
 907.0140        60006.2
 907.1150       52468.05
 907.2160       62775.21
 907.3170       65228.43
 907.4180       66276.55
 907.5190       61516.57
 907.6200       41694.05
 907.7210       33661.61
 907.8220       49451.88
 907.9230       47442.63
 908.0240       16374.69
 908.1250      -33.46458
 908.2260      -504.8844
 908.3270      -1058.688
 908.4280      -829.8438
 908.5290      -1003.766
 908.6300      -1195.995
 908.7310      -1708.607
 908.8320      -120.4255
 908.9330      -806.9592
 909.0340      -1273.802
 909.1350      -431.6541
 909.2360       -1086.15
 909.3370      -459.1154
 909.4380      -175.3482
 909.5390       4836.348
 909.6400       10401.85
 909.7410       15331.16
 909.8420       17665.37
 909.9430       5170.461
 910.0440       401.3401
 910.1450       2058.175
 910.2460       26860.35
 910.3470       61630.99
 910.4480       68743.48
 910.5490        69590.2
 910.6500       68272.07
 910.7510       67045.46
 910.8520       63891.98
 910.9530       55118.07
 911.0540       61109.23
 911.1550        69315.6
 911.2560       70652.05
 911.3570       71745.92
 911.4580        72363.8
 911.5590       71237.88
 911.6600       69159.98
 911.7610       64953.81
 911.8620       61150.42
 911.9630       58591.94
 912.0640       61283.15
 912.1650       63750.09
 912.2660       64226.09
 912.3670       63223.76
 912.4680       49767.69
 912.5690        28988.6
 912.6700       22617.57
 912.7710       37487.89
 912.8720       15294.54
 912.9730      -408.7697
 913.0740      -129.5793
 913.1750       1627.947
 913.2760       10324.04
 913.3770       48170.35
 913.4780       69796.17
 913.5790       73599.56
 913.6800        74661.4
 913.7810       74867.37
 913.8820       74679.71
 913.9830       72560.61
 914.0840       56221.11
 914.1850       27830.65
 914.2860       29858.21
 914.3870       46074.14
 914.4880       42110.55
 914.5890       54408.66
 914.6900       72139.55
 914.7910       73022.88
 914.8920       70501.02
 914.9930        70958.7
 915.0940       71622.34
 915.1950       70510.16
 915.2960       70551.36
 915.3970       71370.62
 915.4980        71393.5
 915.5990       71082.27
 915.7000       65150.63
 915.8010       64656.32
 915.9020       53296.47
 916.0030       54683.27
 916.1040        71590.3
 916.2050       64665.48
 916.3060       56308.07
 916.4070       46797.29
 916.5080       47126.82
 916.6090       53204.94
 916.7100       23642.79
 916.8110       11395.03
 916.9120       19477.82
 917.0130       2717.247
 917.1140      -573.5377
 917.2150      -893.9201
 917.3160      -134.1562
 917.4170       108.4191
 917.5180       4511.388
 917.6190       17029.19
 917.7200       36494.71
 917.8210        16768.3
 917.9220       181.6493
 918.0230      -1.426327
 918.1240       6094.993
 918.2250       40526.95
 918.3260       50376.42
 918.4270       57493.48
 918.5280       60450.16
 918.6290       59443.24
 918.7300       65901.23
 918.8310        72482.8
 918.9320       71283.66
 919.0330       71430.12
 919.1340       67896.76
 919.2350       56266.88
 919.3360       42623.16
 919.4370       59498.16
 919.5380       71100.58
 919.6390       72299.73
 919.7400       73141.87
 919.8410       72528.58
 919.9420       62395.33
 920.0430       57461.45
 920.1440       66793.73
 920.2450       62660.79
 920.3460       57626.21
 920.4470       46710.33
 920.5480       49401.54
 920.6490       42874.89
 920.7500       48097.12
 920.8510       64523.59
 920.9520       65489.31
 921.0530       66903.57
 921.1540       66903.58
 921.2550       65077.39
 921.3560       66134.65
 921.4570       67448.23
 921.5580       58999.27
 921.6590        64619.7
 921.7600       66395.54
 921.8610       67164.45
 921.9620       61498.26
 922.0630       44279.99
 922.1640       41057.87
 922.2650       48106.28
 922.3660       55241.65
 922.4670       58001.52
 922.5680        61470.8
 922.6690       59978.74
 922.7700       59713.27
 922.8710       37414.66
 922.9720       10497.96
 923.0730       17830.14
 923.1740       52651.14
 923.2750         60203.
 923.3760       57914.56
 923.4770       41790.17
 923.5780       24155.41
 923.6790       30462.36
 923.7800       48801.96
