#
# HST STIS spectrum of 3C273 (z=0.158) from William Keel, Univ of Alabama
#
# lam is observed wavelengths in Angstroms
# flux is arbitrary units
#
lam          flux
1152.7078    0.32959
1152.7202    0.32959
1152.7327    0.32959
1152.7452    0.29634
1152.7577    0.32959
1152.7703    0.29634
1152.7827    0.29634
1152.7953    0.26150
1152.8077    0.26150
1152.8202    0.23385
1152.8328    0.26150
1152.8452    0.26150
1152.8578    0.28591
1152.8702    0.28591
1152.8828    0.29857
1152.8953    0.28591
1152.9077    0.29067
1152.9203    0.29067
1152.9327    0.29857
1152.9453    0.29857
1152.9578    0.29857
1152.9703    0.31359
1152.9828    0.31359
1152.9952    0.31359
1153.0078    0.31359
1153.0203    0.31466
1153.0328    0.31786
1153.0453    0.32838
1153.0579    0.33118
1153.0703    0.37236
1153.0829    0.37236
1153.0953    0.41707
1153.1078    0.37236
1153.1204    0.36263
1153.1954    0.36263
1153.2079    0.36263
1153.2205    0.33118
1153.2329    0.36263
1153.2454    0.36263
1153.2579    0.36263
1153.2704    0.36263
1153.2830    0.39465
1153.2954    0.35550
1153.3080    0.38201
1153.3204    0.38201
1153.3330    0.39465
1153.3455    0.39465
1153.3580    0.39465
1153.3705    0.38201
1153.3831    0.35550
1153.3955    0.35550
1153.4081    0.33709
1153.4205    0.31721
1153.4331    0.31721
1153.4456    0.30594
1153.4580    0.31721
1153.4706    0.30594
1153.4830    0.31721
1153.4956    0.33551
1153.5081    0.33709
1153.5206    0.34442
1153.5331    0.33551
1153.5457    0.33551
1153.5581    0.33551
1153.5707    0.33352
1153.5831    0.33551
1153.5957    0.33551
1153.6082    0.33551
1153.6207    0.33551
1153.6332    0.33352
1153.6458    0.31814
1153.6582    0.31814
1153.6708    0.31445
1153.6832    0.31445
1153.6958    0.31445
1153.7083    0.35388
1153.7208    0.33461
1153.7333    0.31445
1153.7458    0.33461
1153.7583    0.31445
1153.7709    0.31065
1153.7833    0.33461
1153.7959    0.33461
1153.8083    0.35919
1153.8209    0.35543
1153.8334    0.35543
1153.8459    0.34677
1153.8584    0.35543
1153.8710    0.38891
1153.8835    0.35543
1153.8960    0.36104
1153.9086    0.36992
1153.9210    0.36992
1153.9336    0.36104
1153.9460    0.36104
1153.9586    0.36992
1153.9711    0.37115
1153.9836    0.39005
1153.9961    0.37115
1154.0087    0.36992
1154.0211    0.36992
1154.0337    0.36992
1154.0461    0.37115
1154.0587    0.37115
1154.0712    0.38732
1154.0837    0.37115
1154.0963    0.32665
1154.1088    0.32665
1154.1213    0.31236
1154.1338    0.32307
1154.1464    0.32665
1154.1588    0.33906
1154.1714    0.35163
1154.1838    0.33906
1154.1964    0.33906
1154.2089    0.33906
1154.2214    0.33906
1154.2340    0.34444
1154.2465    0.35163
1154.2590    0.35163
1154.2715    0.36770
1154.2841    0.35163
1154.2965    0.34444
1154.3091    0.32128
1154.3215    0.32128
1154.3341    0.31142
1154.3467    0.31142
1154.3591    0.31142
1154.3717    0.31142
1154.3842    0.28791
1154.3967    0.31142
1154.4092    0.31142
1154.4218    0.32156
1154.4343    0.34151
1154.4468    0.34843
1154.4594    0.34843
1154.4718    0.37469
1154.4844    0.34843
1154.4968    0.34329
1154.5094    0.34151
1154.5220    0.34329
1154.5344    0.34151
1154.5470    0.34151
1154.5594    0.31785
1154.5720    0.31785
1154.5845    0.31785
1154.5970    0.31785
1154.6096    0.31785
1154.6221    0.38196
1154.6346    0.38196
1154.6471    0.39070
1154.6597    0.39868
1154.6722    0.39868
1154.6847    0.39868
1154.6973    0.39868
1154.7097    0.39868
1154.7223    0.38403
1154.7349    0.38403
1154.7473    0.38403
1154.7599    0.32411
1154.7723    0.32411
1154.7849    0.29066
1154.7975    0.29066
1154.8099    0.32411
1154.8225    0.33224
1154.8350    0.38030
1154.8475    0.38030
1154.8601    0.38030
1154.8726    0.35553
1154.8851    0.35553
1154.8976    0.38030
1154.9102    0.39120
1154.9227    0.40348
1154.9352    0.40348
1154.9478    0.40348
1154.9602    0.40348
1154.9728    0.40348
1154.9854    0.40348
1154.9978    0.40348
1155.0104    0.40563
1155.0229    0.40348
1155.0354    0.37324
1155.0480    0.34940
1155.0604    0.34940
1155.0730    0.32204
1155.0856    0.32204
1155.0980    0.34542
1155.1106    0.34542
1155.1232    0.34975
1155.1356    0.34975
1155.1482    0.34542
1155.1606    0.34542
1155.1732    0.34975
1155.1858    0.34975
1155.1982    0.34975
1155.2108    0.36931
1155.2234    0.36931
1155.2358    0.36931
1155.2484    0.36931
1155.2610    0.36931
1155.2734    0.36699
1155.2860    0.36699
1155.2986    0.34844
1155.3110    0.34500
1155.3236    0.34500
1155.3361    0.33632
1155.3486    0.30654
1155.3612    0.30654
1155.3737    0.32929
1155.3862    0.32929
1155.3988    0.30654
1155.4113    0.30654
1155.4238    0.32929
1155.4364    0.32929
1155.4489    0.32929
1155.4614    0.32929
1155.4740    0.33086
1155.4865    0.35239
1155.4990    0.35239
1155.5116    0.35239
1155.5240    0.35239
1155.5366    0.37399
1155.5492    0.38480
1155.5616    0.38480
1155.5742    0.35351
1155.5868    0.35351
1155.5992    0.38480
1155.6118    0.35351
1155.6244    0.35351
1155.6368    0.35351
1155.6494    0.35629
1155.6620    0.35629
1155.6744    0.35351
1155.6870    0.33641
1155.6996    0.32340
1155.7122    0.32340
1155.7246    0.32170
1155.7372    0.31291
1155.7498    0.31291
1155.7622    0.31291
1155.7748    0.31291
1155.7874    0.27103
1155.7998    0.27103
1155.8124    0.27103
1155.8250    0.27103
1155.8374    0.27103
1155.8500    0.35711
1155.8625    0.35711
1155.8751    0.35711
1155.8876    0.35898
1155.9001    0.35898
1155.9127    0.35898
1155.9252    0.35898
1155.9377    0.35558
1155.9503    0.34916
1155.9628    0.33190
1155.9753    0.33190
1155.9879    0.33190
1156.0005    0.33190
1156.0129    0.31244
1156.0255    0.29982
1156.0381    0.31244
1156.0505    0.33190
1156.0631    0.37436
1156.0757    0.37436
1156.0883    0.37436
1156.1007    0.37436
1156.1133    0.35251
1156.1259    0.35251
1156.1383    0.33326
1156.1509    0.33326
1156.1635    0.33326
1156.1760    0.31610
1156.1885    0.31325
1156.2010    0.30620
1156.2136    0.31325
1156.2262    0.31325
1156.2386    0.31325
1156.2512    0.31610
1156.2638    0.31610
1156.2762    0.34134
1156.2888    0.34134
1156.3014    0.34134
1156.3140    0.34134
1156.3264    0.34882
1156.3390    0.36929
1156.3516    0.34882
1156.3641    0.34789
1156.3766    0.34789
1156.3892    0.34134
1156.4017    0.34134
1156.4143    0.34789
1156.4268    0.34789
1156.4393    0.34789
1156.4519    0.37234
1156.4645    0.37234
1156.4769    0.36378
1156.4895    0.36378
1156.5021    0.37234
1156.5146    0.36378
1156.5271    0.36378
1156.5397    0.33531
1156.5522    0.31453
1156.5648    0.31453
1156.5773    0.33531
1156.5898    0.33531
1156.6024    0.30612
1156.6150    0.30612
1156.6276    0.33531
1156.6400    0.33531
1156.6526    0.33531
1156.6652    0.34455
1156.6777    0.35384
1156.6902    0.35384
1156.7028    0.35384
1156.7153    0.34455
1156.7279    0.32663
1156.7404    0.32663
1156.7529    0.31607
1156.7655    0.31240
1156.7781    0.29047
1156.7906    0.29047
1156.8031    0.29047
1156.8157    0.29047
1156.8282    0.29047
