#
# Keck ESI Spectrum of Quasar J1306+0356, z=6.016
#
# Source: Fan et al. 2001, AJ, 122, 2833
#         provided by the authors
#
# Wavelengths: 3901-10930 Angstroms
#
# wave - wavelength in Agnstroms
# flam - Flux in scaled F-lambda units
# sig - uncertainty on flam
wave          flam     sig
5907.83238637 0.0251013 0.027537
5911.63149782 0.0312136 0.0283936
5915.43060928 -0.0342454 0.027644
5919.22972073 -0.0671086 0.0279112
5923.02883218 -0.0453195 0.0272099
5926.82794363 -0.032001 0.0274793
5930.62705508 -0.0411631 0.0278596
5934.42616654 -0.0356698 0.027939
5938.22527799 -0.0267248 0.027586
5942.02438944 -0.0206073 0.0274374
5945.82350089 0.00988383 0.027042
5949.62261235 0.0214685 0.0275824
5953.4217238 -0.0209824 0.0269718
5957.22083525 -0.0594499 0.0268514
5961.0199467 -0.0426385 0.0262285
5964.81905816 -0.0138692 0.0265435
5968.61816961 -0.00690285 0.0265177
5972.41728106 -0.00408009 0.0277952
5976.21639251 0.00230732 0.0278916
5980.01550397 -0.00204316 0.0285252
5983.81461542 -0.0160467 0.0272161
5987.61372687 -0.0272706 0.0267333
5991.41283832 -0.0200339 0.0261944
5995.21194977 -0.00351361 0.0255454
5999.01106123 -0.000542359 0.0258089
6002.81017268 0.0267125 0.0255517
6006.60928413 0.023618 0.025567
6010.40839558 -0.0422456 0.0247865
6014.20750704 -0.0827845 0.0244686
6018.00661849 -0.0546996 0.0242554
6021.80572994 -0.00703153 0.024502
6025.60484139 -0.0130864 0.0242812
6029.40395285 -0.0352446 0.024069
6033.2030643 -0.0178453 0.0231255
6037.00217575 -0.00434624 0.0229449
6040.8012872 -0.013304 0.0228387
6044.60039866 0.00371728 0.0228707
6048.39951011 0.0294359 0.0225119
6052.19862156 0.00654072 0.0224797
6055.99773301 -0.0281662 0.0218863
6059.79684446 -0.024507 0.0217496
6063.59595592 -0.00735717 0.021329
6067.39506737 -0.00253883 0.0214256
6071.19417882 -0.00991603 0.021178
6074.99329027 -0.0315947 0.0211272
6078.79240173 -0.0458042 0.0210137
6082.59151318 -0.0129731 0.0209844
6086.39062463 0.00971362 0.0208458
6090.18973608 -0.00640817 0.0206459
6093.98884754 -0.00700878 0.0206845
6097.78795899 -0.0109094 0.0205517
6101.58707044 -0.0213655 0.0210322
6105.38618189 0.000424889 0.0210668
6109.18529335 0.0307353 0.0212728
6112.9844048 0.0536214 0.0208587
6116.78351625 0.0608609 0.0204083
6120.5826277 0.0434121 0.0201758
6124.38173915 0.0211918 0.0200103
6128.18085061 0.00899067 0.0201314
6131.97996206 0.00185099 0.0200537
6135.77907351 -0.0129689 0.0202821
6139.57818496 -0.0175821 0.0206332
6143.37729642 -0.00486913 0.020778
6147.17640787 -0.0127462 0.0205748
6150.97551932 -0.016577 0.0201454
6154.77463077 3.22905e-05 0.0200559
6158.57374223 -0.0174523 0.0198639
6162.37285368 -0.0503928 0.0198916
6166.17196513 -0.0451212 0.0199741
6169.97107658 -0.025526 0.0196943
6173.77018804 -0.01631 0.0194911
6177.56929949 -0.0010456 0.0191119
6181.36841094 0.00886012 0.0195048
6185.16752239 0.00148717 0.019688
6188.96663384 0.00167912 0.0195067
6192.7657453 0.0232508 0.0192208
6196.56485675 0.019427 0.019066
6200.3639682 -0.0176445 0.0195425
6204.16307965 -0.0207836 0.0196304
6207.96219111 0.00579892 0.0197608
6211.76130256 -0.00137127 0.0193411
6215.56041401 -0.0330112 0.0195057
6219.35952546 -0.0281777 0.0198367
6223.15863692 -0.00777941 0.0201539
6226.95774837 -0.000570578 0.0196109
6230.75685982 0.0270825 0.0204527
6234.55597127 0.0322945 0.0214137
6238.35508273 -0.00393558 0.0227566
6242.15419418 -0.0145908 0.0212594
6245.95330563 -0.0216602 0.0201768
6249.75241708 -0.0104869 0.0197577
6253.55152853 0.0211921 0.0206159
6257.35063999 0.0416365 0.0209842
6261.14975144 0.0440378 0.0220182
6264.94886289 0.00628345 0.0208729
6268.74797434 -0.0242542 0.0209768
6272.5470858 -0.0065206 0.0207526
6276.34619725 0.00795254 0.021244
6280.1453087 0.029446 0.0214723
6283.94442015 0.0601096 0.0219881
6287.74353161 0.0625666 0.0218532
6291.54264306 0.0271715 0.0218971
6295.34175451 0.00370291 0.0235764
6299.14086596 0.0408876 0.0241314
6302.93997742 0.0549274 0.0258975
6306.73908887 0.0252399 0.0227052
6310.53820032 0.0357113 0.0224168
6314.33731177 0.0368783 0.0211937
6318.13642322 0.0116397 0.0217917
6321.93553468 0.0110146 0.0216624
6325.73464613 0.00708431 0.0228026
6329.53375758 -0.0203357 0.022041
6333.33286903 -0.0138736 0.0224062
6337.13198049 0.024087 0.0218212
6340.93109194 0.0304243 0.0223872
6344.73020339 0.0147234 0.0228413
6348.52931484 0.0144085 0.0231727
