#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
 199  83.46736  79.40277  75.55064  68.47774  51.45678 
 200  83.56195  79.49403  75.63729  68.55508  51.51019 
 201  83.65226  79.58078  75.71988  68.62944  51.55967 
 202  83.73828  79.66367  75.79842  68.70007  51.60814 
 203  83.82005  79.74208  75.87292  68.76700  51.65366 
 204  83.89636  79.81541  75.94340  68.83022  51.69526 
 205  83.96904  79.88554  76.00921  68.88976  51.73587 
 206  84.03690  79.94998  76.07101  68.94491  51.77258 
 207  84.09994  80.01125  76.12949  68.99710  51.80733 
 208  84.15819  80.06685  76.18267  69.04491  51.83918 
 209  84.21223  80.11866  76.23123  69.08835  51.86714 
 210  84.26090  80.16545  76.27647  69.12886  51.89316 
 211  84.30599  80.20848  76.31710  69.16502  51.91628 
 212  84.34512  80.24650  76.35313  69.19682  51.93554 
 213  84.38068  80.28014  76.38521  69.22572  51.95190 
 214  84.41090  80.30940  76.41335  69.25027  51.96634 
 215  84.43696  80.33430  76.43690  69.27048  51.97788 
 216  84.45827  80.35484  76.45587  69.28709  51.98558 
 217  84.47544  80.37102  76.47157  69.30080  51.99135 
 218  84.48787  80.38284  76.48268  69.31017  51.99423 
 219  84.49556  80.39030  76.48921  69.31595  51.99423 
 220  84.49912  80.39341  76.49249  69.31738  51.99135 
 221  84.49852  80.39278  76.49117  69.31595  51.98558 
 222  84.49260  80.38719  76.48660  69.31089  51.97788 
 223  84.48195  80.37661  76.47614  69.30080  51.96634 
 224  84.46774  80.36293  76.46307  69.28780  51.95287 
 225  84.44880  80.34488  76.44540  69.27121  51.93554 
 226  84.42512  80.32185  76.42316  69.25099  51.91628 
 227  84.39668  80.29446  76.39699  69.22572  51.89412 
 228  84.36409  80.26332  76.36753  69.19827  51.86906 
 229  84.32674  80.22780  76.33348  69.16647  51.84110 
 230  84.28523  80.18728  76.29482  69.13103  51.81023 
 231  84.23835  80.14237  76.25156  69.09052  51.77644 
 232  84.18729  80.09370  76.20499  69.04781  51.73973 
 233  84.13204  80.04061  76.15445  69.00072  51.70010 
 234  84.07140  79.98187  76.09862  68.94926  51.65753 
 235  84.00655  79.91996  76.03880  68.89412  51.61201 
 236  83.93688  79.85299  75.97500  68.83531  51.56258 
 237  83.86239  79.78158  75.90652  68.77209  51.51116 
 238  83.78365  79.70571  75.83469  68.70589  51.45678 
 239  83.70065  79.62663  75.75816  68.63599  51.39941 
 240  83.61160  79.54181  75.67760  68.56092  51.33810 
 241  83.51946  79.45313  75.59299  68.48357  51.27573 
 242  83.42302  79.36057  75.50430  68.40176  51.21035 
 243  83.32166  79.26349  75.41154  68.31691  51.14294 
 244  83.21539  79.16186  75.31467  68.22756  51.07152 
 245  83.10475  79.05567  75.21370  68.13516  50.99706 
 246  82.98975  78.94618  75.10859  68.03896  50.92052 
 247  82.87038  78.83210  74.99934  67.93894  50.84290 
 248  82.74599  78.71340  74.88658  67.83583  50.76120 
 249  82.61840  78.59135  74.77032  67.72961  50.67741 
 250  82.48576  78.46465  74.64918  67.61952  50.59150 
 251  82.34926  78.33454  74.52516  67.50629  50.50446 
 252  82.20766  78.19910  74.39623  67.38843  50.41230 
 253  82.06278  78.06087  74.26507  67.26887  50.32097 
 254  81.91337  77.91855  74.12894  67.14536  50.22549 
 255  81.75941  77.77210  73.98919  67.01791  50.12784 
 256  81.60147  77.62152  73.84646  66.88796  50.02899 
 257  81.43954  77.46741  73.69939  66.75478  49.92795 
 258  81.27361  77.30912  73.54862  66.61832  49.82369 
 259  81.10302  77.14726  73.39482  66.47857  49.71720 
 260  80.92960  76.98247  73.23797  66.33551  49.60947 
 261  80.75147  76.81276  73.07668  66.18988  49.49849 
 262  80.56922  76.63942  72.91159  66.03938  49.38522 
 263  80.38470  76.46371  72.74476  65.88854  49.27169 
 264  80.19539  76.28368  72.57341  65.73355  49.15486 
 265  80.00188  76.09928  72.39751  65.57439  49.03468 
 266  79.80476  75.91179  72.21980  65.41330  48.91421 
 267  79.60339  75.72054  72.03749  65.24799  48.78934 
 268  79.39836  75.52549  71.85193  65.07995  48.66210 
 269  79.18901  75.32662  71.66240  64.90762  48.53246 
 270  78.97658  75.12457  71.47028  64.73407  48.40145 
 271  78.76040  74.91929  71.27482  64.55618  48.26800 
 272  78.54171  74.71078  71.07672  64.37701  48.13419 
 273  78.31922  74.49899  70.87524  64.19424  47.99688 
 274  78.09290  74.28391  70.67107  64.00938  47.85708 
 275  77.86334  74.06619  70.46346  63.82084  47.71582 
 276  77.63118  73.84511  70.25311  63.63097  47.57415 
 277  77.39445  73.61997  70.03928  63.43658  47.42784 
 278  77.15504  73.39278  69.82263  63.24081  47.28107 
 279  76.91294  73.16215  69.60388  63.04205  47.13173 
 280  76.66747  72.92873  69.38155  62.84107  46.98085 
 281  76.41989  72.69319  69.15779  62.63865  46.82948 
 282  76.16758  72.45343  68.92967  62.43156  46.67440 
 283  75.91311  72.21219  68.69935  62.22379  46.51881 
 284  75.65646  71.96735  68.46678  62.01290  46.36162 
 285  75.39629  71.72099  68.23196  61.80049  46.20281 
 286  75.13322  71.47028  67.99412  61.58490  46.04129 
 287  74.86788  71.21797  67.75397  61.36693  45.87810 
 288  74.59960  70.96267  67.51074  61.14736  45.71324 
 289  74.32832  70.70502  67.26589  60.92536  45.54778 
 290  74.05539  70.44501  67.01865  60.70173  45.37951 
 291  73.77940  70.18333  66.76975  60.47562  45.21172 
 292  73.49966  69.91709  66.51616  60.24533  45.03776 
 293  73.21885  69.65056  66.26236  60.01583  44.86647 
 294  72.93559  69.38084  66.00530  59.78378  44.69228 
 295  72.65122  69.11006  65.74876  59.55082  44.51854 
 296  72.36298  68.83676  65.48817  59.31442  44.34185 
 297  72.07358  68.56092  65.22576  59.07707  44.16447 
 298  71.78091  68.28250  64.96075  58.83706  43.98409 
 299  71.48636  68.00294  64.69466  58.59607  43.80411 
 300  71.19059  67.72075  64.42593  58.35238  43.62224 
 301  70.89217  67.43738  64.15606  58.10766  43.43846 
 302  70.59249  67.15207  63.88505  57.86190  43.25506 
 303  70.29082  66.86554  63.61211  57.61423  43.06971 
 304  69.98714  66.57627  63.33719  57.36549  42.88240 
 305  69.68285  66.28650  63.06108  57.11567  42.69543 
 306  69.37579  65.99470  62.78376  56.86387  42.50765 
 307  69.06808  65.70160  62.50440  56.61095  42.31784 
 308  68.75827  65.40719  62.22459  56.35690  42.12838 
 309  68.44779  65.11221  61.94352  56.10258  41.93805 
 310  68.13589  64.81512  61.66036  55.84622  41.74566 
 311  67.82256  64.51666  61.37671  55.58957  41.55358 
 312  67.50851  64.21838  61.09255  55.33173  41.36182 
 313  67.19375  63.91870  60.80707  55.07359  41.16916 
 314  66.87750  63.61761  60.52107  54.81423  40.97560 
 315  66.56050  63.31587  60.23454  54.55365  40.78112 
 316  66.24274  63.01349  59.94664  54.29365  40.58694 
 317  65.92420  62.71045  59.65820  54.03240  40.39183 
