#
# Draine & Li IR Dust Emission
# "big" graphitic grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.3325    1.00000E-90    2.52294E-22
   0.3340    1.00000E-90    2.51865E-22
   0.3355    1.00000E-90    2.51437E-22
   0.3370    1.00000E-90    2.51010E-22
   0.3386    1.00000E-90    2.50582E-22
   0.3401    1.00000E-90    2.50156E-22
   0.3417    1.00000E-90    2.49729E-22
   0.3432    1.00000E-90    2.49303E-22
   0.3448    1.00000E-90    2.48876E-22
   0.3464    1.00000E-90    2.48448E-22
   0.3480    1.00000E-90    2.48021E-22
   0.3496    1.00000E-90    2.47595E-22
   0.3511    1.00000E-90    2.47169E-22
   0.3528    1.00000E-90    2.46744E-22
   0.3544    1.00000E-90    2.46320E-22
   0.3560    1.00000E-90    2.45897E-22
   0.3576    1.00000E-90    2.45474E-22
   0.3592    1.00000E-90    2.45052E-22
   0.3609    1.00000E-90    2.44630E-22
   0.3625    1.00000E-90    2.44209E-22
   0.3642    1.00000E-90    2.43789E-22
   0.3658    1.00000E-90    2.43375E-22
   0.3675    1.00000E-90    2.42967E-22
   0.3692    1.00000E-90    2.42560E-22
   0.3709    1.00000E-90    2.42154E-22
   0.3726    1.00000E-90    2.41749E-22
   0.3743    1.00000E-90    2.41346E-22
   0.3760    1.00000E-90    2.40943E-22
   0.3777    1.00000E-90    2.40542E-22
   0.3794    1.00000E-90    2.40141E-22
   0.3812    1.00000E-90    2.39742E-22
   0.3829    1.00000E-90    2.39342E-22
   0.3846    1.00000E-90    2.38941E-22
   0.3864    1.00000E-90    2.38538E-22
   0.3882    1.00000E-90    2.38134E-22
   0.3899    1.00000E-90    2.37727E-22
   0.3917    1.00000E-90    2.37319E-22
   0.3935    1.00000E-90    2.36910E-22
   0.3953    1.00000E-90    2.36499E-22
   0.3971    1.00000E-90    2.36086E-22
   0.3989    1.00000E-90    2.35672E-22
   0.4007    1.00000E-90    2.35256E-22
   0.4026    1.00000E-90    2.34838E-22
   0.4044    1.00000E-90    2.34419E-22
   0.4062    1.00000E-90    2.33998E-22
   0.4081    1.00000E-90    2.33575E-22
   0.4100    1.00000E-90    2.33152E-22
   0.4118    1.00000E-90    2.32727E-22
   0.4137    1.00000E-90    2.32300E-22
   0.4156    1.00000E-90    2.31873E-22
   0.4175    1.00000E-90    2.31444E-22
   0.4194    1.00000E-90    2.31014E-22
   0.4213    1.00000E-90    2.30584E-22
   0.4232    1.00000E-90    2.30152E-22
