#
# ISO SWS/LWS Spectra of young stellar object GL7009S
# Dartois et al. 1998, A&A, 
#
# Combined SWS/LWS spectrum of GL7009 S obtained from P.Cox 
# through XT on 09/12/98
#
# lam - wavelength in microns
# flux - flux in W/cm^2/um
#
lam      flux
  4.2989  7.17601e-17  
  4.3025  8.31641e-17  
  4.3061  9.10579e-17  
  4.3096  9.69382e-17  
  4.3132  1.01956e-16  
  4.3168  1.06883e-16  
  4.3204  1.12209e-16  
  4.3240  1.17146e-16  
  4.3276  1.19980e-16  
  4.3312  1.19816e-16  
  4.3349  1.17743e-16  
  4.3385  1.15692e-16  
  4.3421  1.15493e-16  
  4.3457  1.17965e-16  
  4.3493  1.22379e-16  
  4.3530  1.26593e-16  
  4.3566  1.28880e-16  
  4.3602  1.28911e-16  
  4.3639  1.27847e-16  
  4.3675  1.26356e-16  
  4.3711  1.24820e-16  
  4.3748  1.23194e-16  
  4.3784  1.21652e-16  
  4.3821  1.19675e-16  
  4.3857  1.17121e-16  
  4.3894  1.15366e-16  
  4.3930  1.16357e-16  
  4.3967  1.20339e-16  
  4.4004  1.25599e-16  
  4.4040  1.30639e-16  
  4.4077  1.34000e-16  
  4.4114  1.35071e-16  
  4.4151  1.33526e-16  
  4.4187  1.30706e-16  
  4.4224  1.28416e-16  
  4.4261  1.27429e-16  
  4.4298  1.27507e-16  
  4.4335  1.27963e-16  
  4.4372  1.29360e-16  
  4.4409  1.32622e-16  
  4.4446  1.37672e-16  
  4.4483  1.43518e-16  
  4.4520  1.48632e-16  
  4.4557  1.52554e-16  
  4.4594  1.54409e-16  
  4.4631  1.54200e-16  
  4.4669  1.52469e-16  
  4.4706  1.50617e-16  
  4.4743  1.50159e-16  
  4.4781  1.51169e-16  
  4.4818  1.52179e-16  
  4.4855  1.51972e-16  
  4.4893  1.50779e-16  
  4.4930  1.50059e-16  
  4.4967  1.50910e-16  
  4.5005  1.53164e-16  
  4.5043  1.56508e-16  
  4.5080  1.60122e-16  
  4.5118  1.63094e-16  
  4.5155  1.64884e-16  
  4.5193  1.65340e-16  
  4.5231  1.64481e-16  
  4.5268  1.63066e-16  
  4.5306  1.62112e-16  
  4.5344  1.61770e-16  
  4.5382  1.61426e-16  
  4.5419  1.60730e-16  
  4.5457  1.60024e-16  
  4.5495  1.59622e-16  
  4.5533  1.59153e-16  
  4.5571  1.57882e-16  
  4.5609  1.55286e-16  
  4.5647  1.51863e-16  
  4.5685  1.47917e-16  
  4.5723  1.43245e-16  
  4.5761  1.39224e-16  
  4.5799  1.36960e-16  
  4.5838  1.36028e-16  
  4.5876  1.34127e-16  
  4.5914  1.28672e-16  
  4.5952  1.20271e-16  
  4.5991  1.12250e-16  
  4.6029  1.06997e-16  
  4.6067  1.04564e-16  
  4.6106  1.02933e-16  
  4.6144  1.00578e-16  
  4.6183  9.72334e-17  
  4.6221  9.45220e-17  
  4.6260  9.37057e-17  
  4.6298  9.51182e-17  
  4.6337  9.84219e-17  
  4.6376  1.03118e-16  
  4.6414  1.08414e-16  
  4.6453  1.12210e-16  
  4.6492  1.12378e-16  
  4.6530  1.07421e-16  
  4.6569  9.80878e-17  
  4.6608  8.57958e-17  
  4.6647  7.16532e-17  
  4.6686  5.91935e-17  
  4.6725  5.20687e-17  
  4.6764  5.32024e-17  
  4.6803  6.22009e-17  
  4.6842  7.49304e-17  
  4.6881  8.84638e-17  
  4.6920  1.01420e-16  
  4.6959  1.15419e-16  
  4.6998  1.31558e-16  
  4.7037  1.47441e-16  
  4.7076  1.60398e-16  
  4.7116  1.69957e-16  
  4.7155  1.76971e-16  
  4.7194  1.82821e-16  
  4.7234  1.87625e-16  
  4.7273  1.91371e-16  
  4.7312  1.94991e-16  
  4.7352  1.98960e-16  
  4.7391  2.02823e-16  
  4.7431  2.05656e-16  
  4.7470  2.07347e-16  
  4.7510  2.09079e-16  
  4.7550  2.12464e-16  
  4.7589  2.16833e-16  
  4.7629  2.19993e-16  
  4.7669  2.20848e-16  
  4.7708  2.20587e-16  
  4.7748  2.20901e-16  
  4.7788  2.21798e-16  
  4.7828  2.22274e-16  
  4.7868  2.21593e-16  
  4.7908  2.20477e-16  
  4.7947  2.20550e-16  
  4.7987  2.22727e-16  
  4.8027  2.26687e-16  
  4.8068  2.31535e-16  
  4.8108  2.35843e-16  
  4.8148  2.38885e-16  
  4.8188  2.41216e-16  
  4.8228  2.43497e-16  
  4.8268  2.45473e-16  
  4.8308  2.46596e-16  
  4.8349  2.47096e-16  
  4.8389  2.47155e-16  
  4.8429  2.46157e-16  
  4.8470  2.44491e-16  
