#
# Carbon Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Carbon Black GDS68
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Carbon_Black_GDS68_sm.ap._BECKa_AREF.html
#
# wavelength in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
1.4284999e+000  1.4641857e-002  5.1577832e-004
1.4334999e+000  1.3608721e-002  5.1682565e-004
1.4384999e+000  1.3568266e-002  5.1666918e-004
1.4434999e+000  1.3207184e-002  5.1573099e-004
1.4484999e+000  1.3490237e-002  5.1718438e-004
1.4534999e+000  1.3694706e-002  5.1562698e-004
1.4584999e+000  1.4380780e-002  5.1908701e-004
1.4634999e+000  1.3837186e-002  5.1791768e-004
1.4684999e+000  1.3609273e-002  5.1842222e-004
1.4735000e+000  1.3661196e-002  5.1891414e-004
1.4785000e+000  1.4209818e-002  5.1804027e-004
1.4835000e+000  1.3586125e-002  5.1768392e-004
1.4885000e+000  1.2696783e-002  5.1797205e-004
1.4935000e+000  1.4230995e-002  5.1776326e-004
1.4985000e+000  1.4303801e-002  5.1567622e-004
1.5035000e+000  1.3462956e-002  5.5398419e-004
1.5085000e+000  1.3563204e-002  5.1585695e-004
1.5135000e+000  1.3771637e-002  6.1246735e-004
1.5185000e+000  1.4154728e-002  5.1621487e-004
1.5235000e+000  1.4389634e-002  5.7592103e-004
1.5285000e+000  1.3630586e-002  5.1542476e-004
1.5339999e+000  1.4108875e-002  5.1214109e-004
1.5400000e+000  1.3667615e-002  5.1343470e-004
1.5460000e+000  1.3137690e-002  5.1399070e-004
1.5519999e+000  1.3197658e-002  5.1365636e-004
1.5580000e+000  1.2999393e-002  5.1345176e-004
1.5639999e+000  1.3362294e-002  5.1500864e-004
1.5705000e+000  1.4446159e-002  5.2341737e-004
1.5775000e+000  1.4165838e-002  5.1200035e-004
1.5845000e+000  1.2840200e-002  5.1889458e-004
1.5915000e+000  1.3083391e-002  5.1157502e-004
1.5985000e+000  1.3362010e-002  5.0078327e-004
1.6055000e+000  1.3024691e-002  5.0899008e-004
1.6125000e+000  1.3166682e-002  5.1095558e-004
1.6194999e+000  1.3871061e-002  5.1308423e-004
1.6265000e+000  1.3397171e-002  5.0954189e-004
1.6335000e+000  1.4005995e-002  5.1260332e-004
1.6404999e+000  1.3367070e-002  5.1113154e-004
1.6474999e+000  1.2996554e-002  5.1084842e-004
1.6544999e+000  1.2415892e-002  5.0908327e-004
1.6615000e+000  1.3828048e-002  5.1177375e-004
1.6684999e+000  1.3357826e-002  5.0964725e-004
1.6760001e+000  1.3064676e-002  5.1026256e-004
1.6840000e+000  1.2507861e-002  5.7288056e-004
1.6920000e+000  1.2900559e-002  6.9953513e-004
1.7000000e+000  1.2979940e-002  7.0379849e-004
1.7080001e+000  1.2716179e-002  5.8368320e-004
1.7160001e+000  1.2931083e-002  5.0967047e-004
1.7240000e+000  1.2221857e-002  6.3584780e-004
1.7320000e+000  1.3275827e-002  6.3497346e-004
1.7400000e+000  1.3191706e-002  8.9485466e-004
1.7480000e+000  1.2479075e-002  7.3693914e-004
1.7560000e+000  1.2343675e-002  7.1838027e-004
1.7639999e+000  1.2628563e-002  5.0868787e-004
1.7720001e+000  1.1317505e-002  5.7444908e-004
1.7800001e+000  1.3321817e-002  5.9732411e-004
1.7880001e+000  1.2535502e-002  6.4211799e-004
1.7960001e+000  1.3000163e-002  5.0620834e-004
1.8049999e+000  1.2927947e-002  5.0491025e-004
1.8149999e+000  1.1660179e-002  5.0505309e-004
1.8249999e+000  1.3093403e-002  5.0613779e-004
1.8349999e+000  1.2024886e-002  5.2600895e-004
1.8449999e+000  1.2721869e-002  5.0306501e-004
1.8549999e+000  1.3050335e-002  4.9855147e-004
1.8649999e+000  1.2459232e-002  5.0528115e-004
1.8750000e+000  1.2397435e-002  5.3293462e-004
1.8850000e+000  1.2970286e-002  5.0370186e-004
1.8950000e+000  1.2765791e-002  5.1309355e-004
1.9050000e+000  1.2537085e-002  5.0157111e-004
1.9150000e+000  1.2926412e-002  5.3690502e-004
1.9250000e+000  1.2236683e-002  5.1141117e-004
1.9349999e+000  1.2492594e-002  5.3712836e-004
1.9449999e+000  1.2657863e-002  5.4860784e-004
1.9549999e+000  1.1391135e-002  5.2386150e-004
1.9649999e+000  1.3102826e-002  5.9669593e-004
1.9750000e+000  1.1879416e-002  6.2006374e-004
1.9850000e+000  1.0794377e-002  5.5997883e-004
1.9950000e+000  1.1736383e-002  6.0515857e-004
2.0050001e+000  1.2199998e-002  6.1798410e-004
2.0150001e+000  1.2308366e-002  7.2035106e-004
2.0250001e+000  1.2845438e-002  7.3220930e-004
2.0350001e+000  1.2797814e-002  8.1703096e-004
2.0450001e+000  1.0698837e-002  7.2782341e-004
2.0550001e+000  1.1626468e-002  8.0364151e-004
