#
# Draine & Li IR Dust Emission
# "small" silicate grains (a<250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda      lamIlamH     sigExt    
   0.5769   6.5955E-29   2.3674E-24
   0.5795   6.7270E-29   2.3559E-24
   0.5822   6.8605E-29   2.3445E-24
   0.5848   6.9961E-29   2.3331E-24
   0.5875   7.1336E-29   2.3218E-24
   0.5902   7.2732E-29   2.3105E-24
   0.5929   7.4148E-29   2.2994E-24
   0.5956   7.5586E-29   2.2883E-24
   0.5983   7.7043E-29   2.2772E-24
   0.6010   7.8522E-29   2.2663E-24
   0.6038   8.0022E-29   2.2554E-24
   0.6065   8.1544E-29   2.2446E-24
   0.6093   8.3086E-29   2.2338E-24
   0.6121   8.4651E-29   2.2231E-24
   0.6149   8.6237E-29   2.2125E-24
   0.6177   8.7844E-29   2.2019E-24
   0.6205   8.9474E-29   2.1914E-24
   0.6233   9.1126E-29   2.1809E-24
   0.6262   9.2800E-29   2.1705E-24
   0.6290   9.4497E-29   2.1602E-24
   0.6319   9.6216E-29   2.1499E-24
   0.6348   9.7958E-29   2.1397E-24
   0.6377   9.9723E-29   2.1296E-24
   0.6406   1.0151E-28   2.1195E-24
   0.6435   1.0332E-28   2.1095E-24
   0.6465   1.0515E-28   2.0995E-24
   0.6494   1.0701E-28   2.0896E-24
   0.6524   1.0889E-28   2.0797E-24
   0.6554   1.1079E-28   2.0699E-24
   0.6584   1.1272E-28   2.0603E-24
   0.6614   1.1468E-28   2.0507E-24
   0.6644   1.1666E-28   2.0411E-24
   0.6674   1.1867E-28   2.0317E-24
   0.6705   1.2069E-28   2.0222E-24
   0.6735   1.2275E-28   2.0129E-24
   0.6766   1.2482E-28   2.0035E-24
   0.6797   1.2693E-28   1.9943E-24
   0.6828   1.2905E-28   1.9851E-24
   0.6859   1.3121E-28   1.9759E-24
   0.6890   1.3338E-28   1.9668E-24
   0.6922   1.3558E-28   1.9578E-24
   0.6953   1.3781E-28   1.9488E-24
   0.6985   1.4006E-28   1.9398E-24
   0.7017   1.4233E-28   1.9309E-24
   0.7049   1.4463E-28   1.9220E-24
   0.7081   1.4696E-28   1.9132E-24
   0.7114   1.4930E-28   1.9044E-24
   0.7146   1.5168E-28   1.8957E-24
   0.7179   1.5408E-28   1.8870E-24
   0.7211   1.5650E-28   1.8784E-24
   0.7244   1.5895E-28   1.8698E-24
   0.7277   1.6142E-28   1.8612E-24
   0.7311   1.6392E-28   1.8528E-24
