#
# Draine & Li IR Dust Emission
# "small" graphitic/PAH grains (a<250A)
#
# lambda - wavelength in microns
# PAHs - PAH IR emission per H column (erg s^-1 H^-1)
# sigPAHs - PAH exinction cross section
# smGra - small graphitic grain IR emission per H column (erg s^-1 H^-1)
# sigGra - small graphitic grain exinction cross section
# 
lambda      PAHs         sigPAHs      smGra        sigGra    
   0.3265   5.9053E-29   1.5651E-22   9.0941E-32   2.0256E-23
   0.3280   6.2788E-29   1.5466E-22   9.6677E-32   2.0016E-23
   0.3295   6.6703E-29   1.5283E-22   1.0269E-31   1.9779E-23
   0.3310   7.0798E-29   1.5101E-22   1.0897E-31   1.9546E-23
   0.3325   7.5071E-29   1.4920E-22   1.1553E-31   1.9318E-23
   0.3340   7.9519E-29   1.4740E-22   1.2235E-31   1.9094E-23
   0.3355   8.4135E-29   1.4562E-22   1.2942E-31   1.8874E-23
   0.3370   8.8908E-29   1.4384E-22   1.3673E-31   1.8657E-23
   0.3386   9.3826E-29   1.4208E-22   1.4426E-31   1.8445E-23
   0.3401   9.8868E-29   1.4033E-22   1.5198E-31   1.8237E-23
   0.3417   1.0401E-28   1.3859E-22   1.5985E-31   1.8032E-23
   0.3432   1.0923E-28   1.3686E-22   1.6782E-31   1.7832E-23
   0.3448   1.1449E-28   1.3514E-22   1.7585E-31   1.7636E-23
   0.3464   1.1976E-28   1.3343E-22   1.8387E-31   1.7445E-23
   0.3480   1.2499E-28   1.3173E-22   1.9183E-31   1.7257E-23
   0.3496   1.3015E-28   1.3004E-22   1.9968E-31   1.7071E-23
   0.3511   1.3521E-28   1.2836E-22   2.0735E-31   1.6889E-23
   0.3528   1.4015E-28   1.2668E-22   2.1483E-31   1.6709E-23
   0.3544   1.4497E-28   1.2502E-22   2.2211E-31   1.6533E-23
   0.3560   1.4969E-28   1.2337E-22   2.2923E-31   1.6359E-23
   0.3576   1.5437E-28   1.2174E-22   2.3627E-31   1.6187E-23
   0.3592   1.5909E-28   1.2011E-22   2.4335E-31   1.6019E-23
   0.3609   1.6392E-28   1.1850E-22   2.5060E-31   1.5853E-23
   0.3625   1.6898E-28   1.1690E-22   2.5819E-31   1.5690E-23
   0.3642   1.7437E-28   1.1532E-22   2.6627E-31   1.5529E-23
   0.3658   1.8018E-28   1.1375E-22   2.7500E-31   1.5367E-23
   0.3675   1.8650E-28   1.1219E-22   2.8451E-31   1.5204E-23
   0.3692   1.9340E-28   1.1065E-22   2.9490E-31   1.5043E-23
   0.3709   2.0092E-28   1.0912E-22   3.0626E-31   1.4883E-23
   0.3726   2.0913E-28   1.0759E-22   3.1865E-31   1.4725E-23
   0.3743   2.1803E-28   1.0609E-22   3.3213E-31   1.4568E-23
   0.3760   2.2765E-28   1.0459E-22   3.4671E-31   1.4413E-23
   0.3777   2.3800E-28   1.0310E-22   3.6242E-31   1.4260E-23
   0.3794   2.4907E-28   1.0161E-22   3.7924E-31   1.4108E-23
   0.3812   2.6085E-28   1.0014E-22   3.9719E-31   1.3957E-23
   0.3829   2.7335E-28   9.8679E-23   4.1622E-31   1.3809E-23
   0.3846   2.8653E-28   9.7226E-23   4.3633E-31   1.3663E-23
   0.3864   3.0037E-28   9.5784E-23   4.5747E-31   1.3517E-23
   0.3882   3.1486E-28   9.4354E-23   4.7961E-31   1.3373E-23
   0.3899   3.2997E-28   9.2938E-23   5.0270E-31   1.3229E-23
   0.3917   3.4566E-28   9.1537E-23   5.2667E-31   1.3087E-23
   0.3935   3.6188E-28   9.0152E-23   5.5147E-31   1.2946E-23
   0.3953   3.7858E-28   8.8783E-23   5.7697E-31   1.2806E-23
   0.3971   3.9567E-28   8.7431E-23   6.0304E-31   1.2667E-23
   0.3989   4.1304E-28   8.6096E-23   6.2953E-31   1.2529E-23
   0.4007   4.3056E-28   8.4775E-23   6.5621E-31   1.2392E-23
   0.4026   4.4809E-28   8.3469E-23   6.8283E-31   1.2255E-23
   0.4044   4.6541E-28   8.2177E-23   7.0911E-31   1.2120E-23
   0.4062   4.8234E-28   8.0896E-23   7.3471E-31   1.1986E-23
   0.4081   4.9861E-28   7.9627E-23   7.5924E-31   1.1853E-23
   0.4100   5.1398E-28   7.8368E-23   7.8231E-31   1.1721E-23
   0.4118   5.2816E-28   7.7120E-23   8.0348E-31   1.1590E-23
   0.4137   5.4090E-28   7.5882E-23   8.2236E-31   1.1460E-23
   0.4156   5.5196E-28   7.4655E-23   8.3855E-31   1.1331E-23
   0.4175   5.6112E-28   7.3441E-23   8.5175E-31   1.1204E-23
   0.4194   5.6828E-28   7.2240E-23   8.6178E-31   1.1077E-23
   0.4213   5.7342E-28   7.1055E-23   8.6860E-31   1.0951E-23
   0.4232   5.7663E-28   6.9886E-23   8.7237E-31   1.0827E-23
   0.4252   5.7812E-28   6.8734E-23   8.7341E-31   1.0703E-23
   0.4271   5.7821E-28   6.7601E-23   8.7221E-31   1.0581E-23
   0.4291   5.7727E-28   6.6487E-23   8.6938E-31   1.0459E-23
   0.4310   5.7572E-28   6.5391E-23   8.6554E-31   1.0339E-23
   0.4330   5.7394E-28   6.4314E-23   8.6130E-31   1.0220E-23
   0.4350   5.7225E-28   6.3254E-23   8.5718E-31   1.0103E-23
   0.4370   5.7092E-28   6.2211E-23   8.5359E-31   9.9885E-24
   0.4389   5.7011E-28   6.1183E-23   8.5079E-31   9.8757E-24
   0.4410   5.6989E-28   6.0169E-23   8.4894E-31   9.7642E-24
   0.4430   5.7028E-28   5.9168E-23   8.4805E-31   9.6540E-24
   0.4450   5.7122E-28   5.8177E-23   8.4806E-31   9.5455E-24
