#
# Draine & Li IR Dust Emission
# "big" silicate grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.3496    1.00000E-90    4.65855E-22
   0.3511    1.00000E-90    4.64254E-22
   0.3528    1.00000E-90    4.62645E-22
   0.3544    1.00000E-90    4.61027E-22
   0.3560    1.00000E-90    4.59401E-22
   0.3576    1.00000E-90    4.57764E-22
   0.3592    1.00000E-90    4.56118E-22
   0.3609    1.00000E-90    4.54461E-22
   0.3625    1.00000E-90    4.52795E-22
   0.3642    1.00000E-90    4.51121E-22
   0.3658    1.00000E-90    4.49433E-22
   0.3675    1.00000E-90    4.47732E-22
   0.3692    1.00000E-90    4.46020E-22
   0.3709    1.00000E-90    4.44298E-22
   0.3726    1.00000E-90    4.42566E-22
   0.3743    1.00000E-90    4.40824E-22
   0.3760    1.00000E-90    4.39072E-22
   0.3777    1.00000E-90    4.37311E-22
   0.3794    1.00000E-90    4.35539E-22
   0.3812    1.00000E-90    4.33757E-22
   0.3829    1.00000E-90    4.31973E-22
   0.3846    1.00000E-90    4.30181E-22
   0.3864    1.00000E-90    4.28380E-22
   0.3882    1.00000E-90    4.26570E-22
   0.3899    1.00000E-90    4.24751E-22
   0.3917    1.00000E-90    4.22922E-22
   0.3935    1.00000E-90    4.21084E-22
   0.3953    1.00000E-90    4.19237E-22
   0.3971    1.00000E-90    4.17382E-22
   0.3989    1.00000E-90    4.15519E-22
   0.4007    1.00000E-90    4.13646E-22
   0.4026    1.00000E-90    4.11764E-22
   0.4044    1.00000E-90    4.09873E-22
   0.4062    1.00000E-90    4.07975E-22
   0.4081    1.00000E-90    4.06068E-22
   0.4100    1.00000E-90    4.04153E-22
   0.4118    1.00000E-90    4.02231E-22
   0.4137    1.00000E-90    4.00301E-22
   0.4156    1.00000E-90    3.98363E-22
   0.4175    1.00000E-90    3.96417E-22
   0.4194    1.00000E-90    3.94465E-22
   0.4213    1.00000E-90    3.92506E-22
   0.4232    1.00000E-90    3.90539E-22
   0.4252    1.00000E-90    3.88566E-22
   0.4271    1.00000E-90    3.86586E-22
   0.4291    1.00000E-90    3.84600E-22
   0.4310    1.00000E-90    3.82608E-22
   0.4330    1.00000E-90    3.80609E-22
   0.4350    1.00000E-90    3.78608E-22
   0.4370    1.00000E-90    3.76603E-22
   0.4389    1.00000E-90    3.74592E-22
   0.4410    1.00000E-90    3.72568E-22
   0.4430    1.00000E-90    3.70531E-22
   0.4450    1.00000E-90    3.68490E-22
   0.4470    1.00000E-90    3.66444E-22
   0.4491    1.00000E-90    3.64394E-22
   0.4511    1.00000E-90    3.62340E-22
   0.4532    1.00000E-90    3.60283E-22
   0.4552    1.00000E-90    3.58221E-22
   0.4573    1.00000E-90    3.56156E-22
   0.4594    1.00000E-90    3.54088E-22
   0.4615    1.00000E-90    3.52016E-22
   0.4636    1.00000E-90    3.49942E-22
   0.4657    1.00000E-90    3.47865E-22
   0.4679    1.00000E-90    3.45785E-22
   0.4700    1.00000E-90    3.43704E-22
   0.4721    1.00000E-90    3.41620E-22
   0.4743    1.00000E-90    3.39534E-22
   0.4765    1.00000E-90    3.37446E-22
   0.4786    1.00000E-90    3.35357E-22
   0.4808    1.00000E-90    3.33266E-22
   0.4830    1.00000E-90    3.31175E-22
   0.4852    1.00000E-90    3.29082E-22
   0.4874    1.00000E-90    3.26990E-22
   0.4897    1.00000E-90    3.24899E-22
   0.4919    1.00000E-90    3.22807E-22
   0.4941    1.00000E-90    3.20714E-22
   0.4964    1.00000E-90    3.18621E-22
   0.4987    1.00000E-90    3.16529E-22
   0.5009    1.00000E-90    3.14436E-22
   0.5032    1.00000E-90    3.12344E-22
   0.5055    1.00000E-90    3.10252E-22
   0.5078    1.00000E-90    3.08161E-22
   0.5101    1.00000E-90    3.06071E-22
   0.5125    1.00000E-90    3.03983E-22
   0.5148    1.00000E-90    3.01895E-22
   0.5172    1.00000E-90    2.99809E-22
   0.5195    1.00000E-90    2.97725E-22
   0.5219    1.00000E-90    2.95642E-22
   0.5243    1.00000E-90    2.93562E-22
   0.5267    1.00000E-90    2.91484E-22
   0.5291    1.00000E-90    2.89408E-22
   0.5315    1.00000E-90    2.87335E-22
   0.5339    1.00000E-90    2.85264E-22
   0.5363    1.00000E-90    2.83197E-22
   0.5388    1.00000E-90    2.81133E-22
   0.5413    1.00000E-90    2.79072E-22
   0.5437    1.00000E-90    2.77014E-22
   0.5462    1.00000E-90    2.74960E-22
   0.5487    1.00000E-90    2.72909E-22
   0.5512    1.00000E-90    2.70863E-22
   0.5537    1.00000E-90    2.68819E-22
   0.5563    1.00000E-90    2.66780E-22
   0.5588    1.00000E-90    2.64745E-22
   0.5613    1.00000E-90    2.62715E-22
   0.5639    1.00000E-90    2.60689E-22
   0.5665    1.00000E-90    2.58669E-22
   0.5691    1.00000E-90    2.56653E-22
   0.5717    1.00000E-90    2.54642E-22
   0.5743    1.00000E-90    2.52636E-22
   0.5769    1.00000E-90    2.50636E-22
   0.5795    1.00000E-90    2.48641E-22
   0.5822    1.00000E-90    2.46652E-22
   0.5848    1.00000E-90    2.44668E-22
   0.5875    1.00000E-90    2.42690E-22
   0.5902    1.00000E-90    2.40719E-22
   0.5929    1.00000E-90    2.38753E-22
   0.5956    1.00000E-90    2.36794E-22
   0.5983    1.00000E-90    2.34840E-22
   0.6010    1.00000E-90    2.32894E-22
   0.6038    1.00000E-90    2.30953E-22
   0.6065    1.00000E-90    2.29020E-22
   0.6093    1.00000E-90    2.27093E-22
   0.6121    1.00000E-90    2.25173E-22
   0.6149    1.00000E-90    2.23260E-22
   0.6177    1.00000E-90    2.21354E-22
   0.6205    1.00000E-90    2.19455E-22
   0.6233    1.00000E-90    2.17563E-22
   0.6262    1.00000E-90    2.15679E-22
   0.6290    1.00000E-90    2.13802E-22
   0.6319    1.00000E-90    2.11933E-22
   0.6348    1.00000E-90    2.10072E-22
   0.6377    1.00000E-90    2.08218E-22
   0.6406    1.00000E-90    2.06372E-22
   0.6435    1.00000E-90    2.04534E-22
   0.6465    1.00000E-90    2.02704E-22
   0.6494    1.00000E-90    2.00882E-22
   0.6524    1.00000E-90    1.99068E-22
   0.6554    1.00000E-90    1.97263E-22
   0.6584    1.00000E-90    1.95467E-22
   0.6614    1.00000E-90    1.93680E-22
   0.6644    1.00000E-90    1.91903E-22
   0.6674    1.00000E-90    1.90133E-22
   0.6705    1.00000E-90    1.88373E-22
   0.6735    1.00000E-90    1.86621E-22
   0.6766    1.00000E-90    1.84879E-22
   0.6797    1.00000E-90    1.83145E-22
   0.6828    1.00000E-90    1.81421E-22
   0.6859    1.00000E-90    1.79705E-22
   0.6890    1.00000E-90    1.77999E-22
   0.6922    1.00000E-90    1.76302E-22
   0.6953    1.00000E-90    1.74615E-22
   0.6985    1.00000E-90    1.72937E-22
   0.7017    1.00000E-90    1.71268E-22
   0.7049    1.00000E-90    1.69608E-22
   0.7081    1.00000E-90    1.67958E-22
   0.7114    1.00000E-90    1.66316E-22
   0.7146    1.00000E-90    1.64685E-22
   0.7179    1.00000E-90    1.63063E-22
   0.7211    1.00000E-90    1.61450E-22
   0.7244    1.00000E-90    1.59847E-22
   0.7277    1.00000E-90    1.58254E-22
   0.7311    1.00000E-90    1.56671E-22
   0.7344    1.00000E-90    1.55097E-22
   0.7378    1.00000E-90    1.53533E-22
   0.7411    1.00000E-90    1.51978E-22
   0.7445    1.00000E-90    1.50433E-22
   0.7479    1.00000E-90    1.48898E-22
   0.7513    1.00000E-90    1.47373E-22
   0.7547    1.00000E-90    1.45857E-22
   0.7582    1.00000E-90    1.44351E-22
   0.7617    1.00000E-90    1.42855E-22
   0.7651    1.00000E-90    1.41369E-22
   0.7686    1.00000E-90    1.39892E-22
   0.7721    1.00000E-90    1.38425E-22
   0.7757    1.00000E-90    1.36967E-22
   0.7792    1.00000E-90    1.35519E-22
   0.7828    1.00000E-90    1.34081E-22
   0.7863    1.00000E-90    1.32652E-22
   0.7899    1.00000E-90    1.31233E-22
   0.7935    1.00000E-90    1.29823E-22
   0.7971    1.00000E-90    1.28423E-22
   0.8008    1.00000E-90    1.27032E-22
   0.8044    1.00000E-90    1.25649E-22
   0.8081    1.00000E-90    1.24277E-22
